Numero,Modelo,Tiempo,Accuracy,Precision macro avg,Recall macro avg,f1-score macro avg,semillas,grados,numero de arboles,kernel,iteraciones m�ximas
0,,,,,,,9,3,27,poly,200
1,LR,103.17496705055237,0.7213541666666666,0.7294993582269125,0.7137861457538878,0.7169858983405297,,,,,
2,LDA,3.065037250518799,0.8567708333333334,0.8672955617446383,0.856746631504696,0.8575102197918401,,,,,
3,KNN,0.6266815662384033,0.6927083333333334,0.724947870364481,0.6812391962875833,0.6834350638018379,,,,,
4,CART,8.494204044342041,0.6354166666666666,0.6271472710407096,0.6245975010652429,0.6229401306790563,,,,,
5,RF,44.535980463027954,0.7421875,0.7542090199102582,0.7368471958149378,0.7384745583731648,,,,,
6,NB,2.0962116718292236,0.6536458333333334,0.6725195599406125,0.6507780910845427,0.6540802491950827,,,,,
7,SVM,6.8425445556640625,0.8541666666666666,0.8590250756988498,0.8518285513769385,0.8512328415012557,,,,,
